date,0000_0030,0030_0100,0100_0130,0130_0200,0200_0230,0230_0300,0300_0330,0330_0400,0400_0430,0430_0500,0500_0530,0530_0600,0600_0630,0630_0700,0700_0730,0730_0800,0800_0830,0830_0900,0900_0930,0930_1000,1000_1030,1030_1100,1100_1130,1130_1200,1200_1230,1230_1300,1300_1330,1330_1400,1400_1430,1430_1500,1500_1530,1530_1600,1600_1630,1630_1700,1700_1730,1730_1800,1800_1830,1830_1900,1900_1930,1930_2000,2000_2030,2030_2100,2100_2130,2130_2200,2200_2230,2230_2300,2300_2330,2330_2400
03/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.30,0.25,0.25,0.30,0.35,0.25,0.25,0.25,0.20,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.20
04/08/2021,0.25,0.25,0.25,0.25,0.20,0.25,0.25,0.25,0.20,0.25,0.30,0.35,0.65,0.55,0.50,0.45,0.50,0.65,0.70,0.80,0.65,0.75,0.55,0.55,0.60,0.55,0.60,1.60,1.55,1.20,0.90,0.90,0.85,1.30,1.20,1.15,1.35,1.40,1.40,1.35,1.60,1.50,1.30,1.20,1.30,1.30,1.45,1.10
05/08/2021,1.40,0.95,0.85,0.85,0.85,0.85,0.85,0.85,0.75,0.70,0.70,1.25,1.55,1.50,1.40,1.40,1.10,1.30,1.70,1.35,1.35,1.30,1.45,1.65,1.30,1.50,1.35,1.25,1.25,0.90,0.80,1.00,0.90,0.70,0.80,0.70,0.70,0.75,0.70,0.90,0.85,0.85,0.85,0.85,0.85,0.90,0.85,0.85
06/08/2021,0.85,0.90,0.95,0.85,0.90,0.85,0.85,0.85,0.75,0.75,0.75,1.20,1.40,1.35,1.15,1.05,1.40,1.45,1.60,1.55,1.70,1.35,1.15,1.35,1.85,1.80,1.60,1.50,1.20,1.10,1.15,0.90,0.85,1.10,1.15,1.35,1.20,1.20,1.30,1.00,1.10,0.90,1.25,1.00,0.85,0.95,1.20,0.95
07/08/2021,0.75,0.75,0.75,0.70,0.75,0.75,0.70,0.75,0.80,1.05,1.40,1.55,1.50,1.35,1.40,1.60,1.10,0.95,1.25,1.40,1.15,1.25,0.95,0.80,0.85,0.85,0.85,0.85,0.80,0.85,0.85,0.85,0.85,0.85,0.85,0.80,0.85,0.85,0.80,0.75,0.70,0.75,0.75,0.75,0.70,0.75,0.75,0.75
08/08/2021,0.75,0.70,0.75,0.75,0.75,0.70,0.75,0.75,0.70,0.85,0.80,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.90,0.85,0.90,0.90,0.85,0.85,0.85,0.85,0.85,0.75,0.70,0.75,0.75,0.70,0.75,0.75,0.70,0.75
09/08/2021,0.75,0.70,0.75,0.75,0.75,0.70,0.75,0.75,0.80,0.85,0.95,1.40,1.50,1.35,1.55,1.20,1.60,1.45,1.20,1.35,1.50,1.40,1.15,0.95,0.95,1.35,1.15,1.05,1.40,1.50,1.15,1.00,1.05,1.05,1.35,1.40,1.50,1.25,1.55,1.15,1.05,1.00,1.45,1.35,1.30,1.00,1.10,0.95
10/08/2021,1.50,1.25,1.25,0.90,0.85,0.90,0.85,0.90,0.85,0.85,0.85,1.35,1.65,1.65,1.90,1.90,1.75,1.80,1.60,1.25,1.40,1.40,1.50,1.65,1.60,1.55,1.65,1.50,1.35,1.25,1.15,0.95,1.05,1.05,1.30,1.30,1.45,1.20,1.25,1.40,1.30,1.00,1.50,1.10,1.50,1.00,0.95,1.20
11/08/2021,1.30,1.45,1.05,1.05,1.55,1.00,0.85,0.90,0.80,0.85,1.25,1.50,1.60,1.70,1.95,1.80,1.70,1.45,1.90,1.80,1.70,1.30,1.45,1.30,1.35,1.20,1.45,1.50,1.75,1.55,0.60,0.35,0.40,0.45,0.75,0.75,0.75,0.70,1.55,1.30,1.25,0.50,1.25,0.95,1.50,0.75,1.25,0.50
12/08/2021,0.80,1.15,1.55,0.65,1.00,0.50,0.35,0.40,0.35,1.10,1.35,1.35,1.40,1.70,1.75,1.65,1.45,1.75,1.95,1.65,1.60,0.80,0.90,1.85,1.55,1.45,1.75,1.25,1.05,1.25,1.40,0.70,0.60,0.50,1.15,1.75,1.05,0.95,0.85,0.80,1.35,0.45,1.25,0.60,1.50,0.50,0.75,0.45
